query,labels,example_type,augmented
bring me michael ' s company history.,COMPANY_PROFILE_QUERY,single,True
show their apple ' h company certificate.,COMPANY_PROFILE_QUERY,single,True
give me jack ' s company plan.,COMPANY_PROFILE_QUERY,single,True
get me the latest company information for you.,COMPANY_PROFILE_QUERY,single,True
tell me the detailed health profile in google.,COMPANY_PROFILE_QUERY,single,True
get me my detailed family website for google.,COMPANY_PROFILE_QUERY,single,True
really want the company profile for this.,COMPANY_PROFILE_QUERY,single,True
he get into company profile for microsoft.,COMPANY_PROFILE_QUERY,single,True
williams joined the company profile by microsoft.,COMPANY_PROFILE_QUERY,single,True
that gave the profile to amazon?,COMPANY_PROFILE_QUERY,single,True
and about the profile for amazon?,COMPANY_PROFILE_QUERY,single,True
how is its profile with amazon?,COMPANY_PROFILE_QUERY,single,True
spare me your overview with tesla.,COMPANY_PROFILE_QUERY,single,True
offer me an atlas of her.,COMPANY_PROFILE_QUERY,single,True
gives me an overview on them.,COMPANY_PROFILE_QUERY,single,True
westwood corporation ' s company website.,COMPANY_PROFILE_QUERY,single,True
display the ' rs partner profile.,COMPANY_PROFILE_QUERY,single,True
display that ' s live app.,COMPANY_PROFILE_QUERY,single,True
give me information our company profile for netflix.,COMPANY_PROFILE_QUERY,single,True
provide details to the company profile on netflix.,COMPANY_PROFILE_QUERY,single,True
provide me with open company app on netflix.,COMPANY_PROFILE_QUERY,single,True
can they show me some map of uber?,COMPANY_PROFILE_QUERY,single,True
can we read me the profile by uber?,COMPANY_PROFILE_QUERY,single,True
can you show me no one showing uber?,COMPANY_PROFILE_QUERY,single,True
fetch the same profile sites for updates.,COMPANY_PROFILE_QUERY,single,True
fetch and company profile posted for visit.,COMPANY_PROFILE_QUERY,single,True
maintains the company product pages for airbnb.,COMPANY_PROFILE_QUERY,single,True
i want you see a ' your company disappear.,COMPANY_PROFILE_QUERY,single,True
i saw he see linkedin ' an internet profile.,COMPANY_PROFILE_QUERY,single,True
i first go see linkedin ' im security profile.,COMPANY_PROFILE_QUERY,single,True
sent me a detailed profile to him.,COMPANY_PROFILE_QUERY,single,True
show me my file profile in adobe.,COMPANY_PROFILE_QUERY,single,True
get me a detailed history of mary.,COMPANY_PROFILE_QUERY,single,True
retrieve the company weapon runs short.,COMPANY_PROFILE_QUERY,single,True
retrieve data product profile for reference.,COMPANY_PROFILE_QUERY,single,True
originally the server name for intel.,COMPANY_PROFILE_QUERY,single,True
what is your company forecast of tomorrow?,COMPANY_PROFILE_QUERY,single,True
that gives the company profile within ibm?,COMPANY_PROFILE_QUERY,single,True
what remains our user profile of ibm?,COMPANY_PROFILE_QUERY,single,True
sending me a company profile of her.,COMPANY_PROFILE_QUERY,single,True
showed me the company plans for oracle.,COMPANY_PROFILE_QUERY,single,True
give forth her company name of oracle.,COMPANY_PROFILE_QUERY,single,True
find the fans interested in cisco.,COMPANY_PROFILE_QUERY,single,True
twenty something company working for cisco.,COMPANY_PROFILE_QUERY,single,True
on the company profile beside her.,COMPANY_PROFILE_QUERY,single,True
uses the profile analysis and salesforce.,COMPANY_PROFILE_QUERY,single,True
provide open profile page for updated.,COMPANY_PROFILE_QUERY,single,True
need written profile details for users.,COMPANY_PROFILE_QUERY,single,True
wears the company symbol on sap.,COMPANY_PROFILE_QUERY,single,True
use the file profile for presentation.,COMPANY_PROFILE_QUERY,single,True
officially the company functions under sap.,COMPANY_PROFILE_QUERY,single,True
tables have a partial profile of it.,COMPANY_PROFILE_QUERY,single,True
you need the new profile about qualcomm.,COMPANY_PROFILE_QUERY,single,True
i understand your detailed explanation on qualcomm.,COMPANY_PROFILE_QUERY,single,True
find me the latest profile in hp.,COMPANY_PROFILE_QUERY,single,True
documentary on the corporate profile of jimmy.,COMPANY_PROFILE_QUERY,single,True
2011 for the corporate profile of america.,COMPANY_PROFILE_QUERY,single,True
fetch the company images and websites.,COMPANY_PROFILE_QUERY,single,True
fetch my company profile about kids.,COMPANY_PROFILE_QUERY,single,True
view the source profile for example.,COMPANY_PROFILE_QUERY,single,True
i tried to put the company profile on jason.,COMPANY_PROFILE_QUERY,single,True
we want better raise the company profile of alex.,COMPANY_PROFILE_QUERY,single,True
and want to check their company profile of her.,COMPANY_PROFILE_QUERY,single,True
get feedback from company profile on twitter.,COMPANY_PROFILE_QUERY,single,True
logged into the latest profile for twitter.,COMPANY_PROFILE_QUERY,single,True
get me one company card for here.,COMPANY_PROFILE_QUERY,single,True
show me the wall around john.,COMPANY_PROFILE_QUERY,single,True
leave me complete profile of paul.,COMPANY_PROFILE_QUERY,single,True
show me the channel through duncan.,COMPANY_PROFILE_QUERY,single,True
retrieve this company address for use.,COMPANY_PROFILE_QUERY,single,True
including their company records for pinterest.,COMPANY_PROFILE_QUERY,single,True
open the new profile for email.,COMPANY_PROFILE_QUERY,single,True
i need a detailed global profile of square.,COMPANY_PROFILE_QUERY,single,True
they recognized the detailed company website for square.,COMPANY_PROFILE_QUERY,single,True
i need the aforementioned classified information for square.,COMPANY_PROFILE_QUERY,single,True
that was the company profile for me.,COMPANY_PROFILE_QUERY,single,True
pulls up the company number for shopify.,COMPANY_PROFILE_QUERY,single,True
this was the latest profile for shopify.,COMPANY_PROFILE_QUERY,single,True
can it leave the company profile for it?,COMPANY_PROFILE_QUERY,single,True
