query,labels,example_type,augmented
give me a profile in meg harris.,PEOPLE_PROFILE_QUERY,single,True
I need the company profile for Microsoft. List the companies acquired by Google.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY",pair,False
Retrieve recent articles on startup trends from TechCrunch.,TECH_NEWS_QUERY,single,False
dave checked the company profile by microsoft. list from businesses acquired by google. what are the menu options for yourself?,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,IPO_QUERY",triple,True
give yourself an investment history with apple. who are the co - investors in o ' v latest round round? who are other main competitors from yahoo?,"INVESTMENT_DETAILS_QUERY,INVESTMENT_PARTNER_QUERY,COMPETITOR_LOOKUP",triple,True
what are the ipo proposals from google? they share financial details with users. retrieve participation in the venture capital market.,"IPO_QUERY,INVESTMENT_DETAILS_QUERY,MARKET_TRENDS_QUERY",triple,True
i need her entire profile for facebook. shows footage of microsoft ' s funding rounds.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY",pair,True
where are the development plans for google? retrieve the investment information with microsoft. forecast growth in the growth capital market.,"IPO_QUERY,INVESTMENT_DETAILS_QUERY,MARKET_TRENDS_QUERY",triple,True
deliver information on harold horowitz ' s funds. provide big tech news on all professions. locate recent articles around startup companies.,"FUNDS_QUERY,TECH_NEWS_QUERY,FUNDING_NEWS_QUERY",triple,True
I need the company profile for Microsoft. Retrieve recent job postings at Microsoft.,"COMPANY_PROFILE_QUERY,JOBS_QUERY",pair,False
find details regarding growth fund firms competing without ai. book us a profile of sundar pichai. retrieve trends in the venture capital market.,"INVESTOR_QUERY,PEOPLE_PROFILE_QUERY,MARKET_TRENDS_QUERY",triple,True
make a profile of her bezos. show already the degrees developed by jennifer bezos. show all startups in spain that raise potential sales leads.,"PEOPLE_PROFILE_QUERY,EDUCATION_QUERY,LEAD_GENERATION_QUERY",triple,True
retrieve the latest documents of xiao pichai. present me the competitors in time. what are the latest news headlines in the financial news?,"EDUCATION_QUERY,COMPETITOR_LOOKUP,TECH_NEWS_QUERY",triple,True
who recognizes the biggest competitors from california startups? list google ' 57 top competitors. list 2017 national tech conferences for startups.,"INVESTOR_QUERY,COMPETITOR_LOOKUP,EVENT_QUERY",triple,True
what funding process has apple started? bring me current job openings with bp. show on the latest funding news from the developing world.,"FUNDING_ROUND_QUERY,JOBS_QUERY,FUNDING_NEWS_QUERY",triple,True
identify companies in cybersecurity that show secured funding. show me those latest funding trends across certain other markets. show me each market position in the business ecosystem.,"LEAD_GENERATION_QUERY,FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",triple,True
retrieve observations on late organizational hierarchy of samsung. give of the finer details like today.,"ORGANIZATION_RELATIONSHIP_QUERY,FUNDS_QUERY",pair,True
show me the past products generated by individuals. show me startups as these products are potential sales leads. retrieve recent executives at startup companies.,"INVESTMENT_DETAILS_QUERY,LEAD_GENERATION_QUERY,FUNDING_NEWS_QUERY",triple,True
what more fun ' n competitors?,COMPETITOR_LOOKUP,single,True
what fifteen rounds has apple led? bring me current web openings at yahoo.,"FUNDING_ROUND_QUERY,JOBS_QUERY",pair,True
provide that overview of the top 5 entries in the global computing market. show me the latest startup profiles on startups. show away several tech trends within the startup ecosystem.,"MARKET_ANALYSIS_QUERY,TECH_NEWS_QUERY,MARKET_TRENDS_QUERY",triple,True
from drew mcintyre ' s office credentials.,EDUCATION_QUERY,single,True
get me his detailed company profile for consumers. show me the past statements made on developers. get me his meta analysis of the fintech industry.,"COMPANY_PROFILE_QUERY,INVESTMENT_DETAILS_QUERY,MARKET_ANALYSIS_QUERY",triple,True
show me their past investments held by friends. show me a global analysis about uk fintech sector. several recent conversations about startup entrepreneur.,"INVESTMENT_DETAILS_QUERY,MARKET_ANALYSIS_QUERY,FUNDING_NEWS_QUERY",triple,True
