query,labels,example_type
Show me Apple's company profile.,COMPANY_PROFILE_QUERY,single
Get me the detailed company profile for Google.,COMPANY_PROFILE_QUERY,single
I need the company profile for Microsoft.,COMPANY_PROFILE_QUERY,single
What is the profile of Amazon?,COMPANY_PROFILE_QUERY,single
Give me an overview of Tesla.,COMPANY_PROFILE_QUERY,single
Display Facebook's company profile.,COMPANY_PROFILE_QUERY,single
Provide me with the company profile for Netflix.,COMPANY_PROFILE_QUERY,single
Can you show me the profile of Uber?,COMPANY_PROFILE_QUERY,single
Fetch the company profile details for Airbnb.,COMPANY_PROFILE_QUERY,single
I want to see LinkedIn's company profile.,COMPANY_PROFILE_QUERY,single
Show me a detailed profile of Adobe.,COMPANY_PROFILE_QUERY,single
Retrieve the company profile for Intel.,COMPANY_PROFILE_QUERY,single
What is the company profile of IBM?,COMPANY_PROFILE_QUERY,single
Give me the company profile of Oracle.,COMPANY_PROFILE_QUERY,single
Find the company profile for Cisco.,COMPANY_PROFILE_QUERY,single
Provide the profile details for Salesforce.,COMPANY_PROFILE_QUERY,single
Display the company profile for SAP.,COMPANY_PROFILE_QUERY,single
I need a detailed profile of Qualcomm.,COMPANY_PROFILE_QUERY,single
Show me the corporate profile of HP.,COMPANY_PROFILE_QUERY,single
Fetch the company profile for Dell.,COMPANY_PROFILE_QUERY,single
I want to view the company profile of eBay.,COMPANY_PROFILE_QUERY,single
Get me the company profile for Twitter.,COMPANY_PROFILE_QUERY,single
Show me the profile of Snapchat.,COMPANY_PROFILE_QUERY,single
Retrieve the company profile for Pinterest.,COMPANY_PROFILE_QUERY,single
I need the detailed company profile for Square.,COMPANY_PROFILE_QUERY,single
Show me the company profile for Shopify.,COMPANY_PROFILE_QUERY,single
Can you provide the company profile for Slack?,COMPANY_PROFILE_QUERY,single
Display the company profile of Zoom.,COMPANY_PROFILE_QUERY,single
Give me the detailed profile for Atlassian.,COMPANY_PROFILE_QUERY,single
Fetch the company profile details for Dropbox.,COMPANY_PROFILE_QUERY,single
What funding rounds has Apple completed?,FUNDING_ROUND_QUERY,single
Show me the latest funding round for Google.,FUNDING_ROUND_QUERY,single
Get details on Microsoft's funding rounds.,FUNDING_ROUND_QUERY,single
List Amazon's funding round history.,FUNDING_ROUND_QUERY,single
Tell me about Tesla's latest funding round.,FUNDING_ROUND_QUERY,single
Give me details of Facebook's recent funding round.,FUNDING_ROUND_QUERY,single
I want information on Netflix's funding rounds.,FUNDING_ROUND_QUERY,single
Show the funding rounds for Uber.,FUNDING_ROUND_QUERY,single
Fetch details on Airbnb's funding rounds.,FUNDING_ROUND_QUERY,single
Provide the funding history for LinkedIn.,FUNDING_ROUND_QUERY,single
What are the funding rounds for Adobe?,FUNDING_ROUND_QUERY,single
Retrieve information on Intel's funding rounds.,FUNDING_ROUND_QUERY,single
Show me the funding round details for IBM.,FUNDING_ROUND_QUERY,single
Get details on Oracle's funding rounds.,FUNDING_ROUND_QUERY,single
List the funding rounds for Cisco.,FUNDING_ROUND_QUERY,single
Provide information on Salesforce's funding rounds.,FUNDING_ROUND_QUERY,single
Tell me about SAP's funding history.,FUNDING_ROUND_QUERY,single
What funding rounds did Qualcomm go through?,FUNDING_ROUND_QUERY,single
Show the funding rounds for HP.,FUNDING_ROUND_QUERY,single
Give me details on Dell's funding rounds.,FUNDING_ROUND_QUERY,single
Fetch the funding round data for eBay.,FUNDING_ROUND_QUERY,single
I want to see Twitter's funding rounds.,FUNDING_ROUND_QUERY,single
Display funding rounds for Snapchat.,FUNDING_ROUND_QUERY,single
Show me the funding history of Pinterest.,FUNDING_ROUND_QUERY,single
Get details on Square's funding rounds.,FUNDING_ROUND_QUERY,single
Provide the funding round details for Shopify.,FUNDING_ROUND_QUERY,single
Tell me about Slack's funding rounds.,FUNDING_ROUND_QUERY,single
List the funding rounds for Zoom.,FUNDING_ROUND_QUERY,single
Fetch details on Atlassian's funding rounds.,FUNDING_ROUND_QUERY,single
Retrieve information on Dropbox's funding rounds.,FUNDING_ROUND_QUERY,single
What acquisitions has Apple made?,ACQUISITION_QUERY,single
Show me Apple's acquisition history.,ACQUISITION_QUERY,single
List the companies acquired by Google.,ACQUISITION_QUERY,single
Tell me about Microsoft's acquisitions.,ACQUISITION_QUERY,single
What acquisitions did Amazon complete?,ACQUISITION_QUERY,single
Give me details on Tesla's acquisitions.,ACQUISITION_QUERY,single
